--- Printing Model Parameters ---
  0  : detail.S1.0.conv.weight                            | Shape: (64, 3, 3, 3)                  | Values: [0.42537504 1.3462815  0.81821406 0.20849888 0.1815117 ]
  1  : detail.S1.0.bn.gamma                               | Shape: (64,)                          | Values: [1.698357  3.4824147 3.3423917 2.453504  6.5050564]
  2  : detail.S1.0.bn.beta                                | Shape: (64,)                          | Values: [ 1.1853828 -4.696061  -3.505814   2.768908  -9.589001 ]
  3  : detail.S1.1.conv.weight                            | Shape: (64, 64, 3, 3)                 | Values: [-0.07987542 -0.07374847  0.01946207  0.06181417 -0.15799916]
  4  : detail.S1.1.bn.gamma                               | Shape: (64,)                          | Values: [3.7450166 2.5362873 2.9251144 4.6231275 5.824475 ]
  5  : detail.S1.1.bn.beta                                | Shape: (64,)                          | Values: [ 3.4210906   0.9049399   0.64180607 -0.85991555 -3.4209695 ]
  6  : detail.S2.0.conv.weight                            | Shape: (64, 64, 3, 3)                 | Values: [-0.00108092  0.03748306  0.06375058 -0.06077115 -0.11105425]
  7  : detail.S2.0.bn.gamma                               | Shape: (64,)                          | Values: [5.264278  4.959986  5.104391  4.766718  3.7391458]
  8  : detail.S2.0.bn.beta                                | Shape: (64,)                          | Values: [ 0.27688566 -0.58514035 -0.6311174   0.7413815   1.7482537 ]
  9  : detail.S2.1.conv.weight                            | Shape: (64, 64, 3, 3)                 | Values: [ 0.06107367 -0.12050816 -0.06720043 -0.03991148 -0.14861885]
  10 : detail.S2.1.bn.gamma                               | Shape: (64,)                          | Values: [3.0990255 5.080202  2.57115   3.5020328 7.0731544]
  11 : detail.S2.1.bn.beta                                | Shape: (64,)                          | Values: [ 3.7099488  -1.6125729   6.776758    0.09839727 -3.4130359 ]
  12 : detail.S2.2.conv.weight                            | Shape: (64, 64, 3, 3)                 | Values: [-0.03996249  0.20989744  0.1389743  -0.15603296 -0.28008056]
  13 : detail.S2.2.bn.gamma                               | Shape: (64,)                          | Values: [5.393728  3.6443622 4.0567226 5.699067  2.8383567]
  14 : detail.S2.2.bn.beta                                | Shape: (64,)                          | Values: [-1.4887537   0.09234387 -0.01024183 -2.8441505   5.943336  ]
  15 : detail.S3.0.conv.weight                            | Shape: (128, 64, 3, 3)                | Values: [ 0.00499003 -0.20617193 -0.15336552 -0.04172475 -0.27942872]
  16 : detail.S3.0.bn.gamma                               | Shape: (128,)                         | Values: [ 4.0126534  3.0027962 11.604329   2.1971834  6.001759 ]
  17 : detail.S3.0.bn.beta                                | Shape: (128,)                         | Values: [ -1.9441117    0.49221253 -11.338613     1.8369365   -3.544112  ]
  18 : detail.S3.1.conv.weight                            | Shape: (128, 128, 3, 3)               | Values: [ 0.001699   -0.00179999 -0.01799058 -0.07050846  0.02897865]
  19 : detail.S3.1.bn.gamma                               | Shape: (128,)                         | Values: [6.223155  3.2679186 3.794503  5.0487747 6.085438 ]
  20 : detail.S3.1.bn.beta                                | Shape: (128,)                         | Values: [-6.6110926  1.270551  -0.9270785 -2.4867892 -6.1419845]
  21 : detail.S3.2.conv.weight                            | Shape: (128, 128, 3, 3)               | Values: [-0.00216047  0.03184543  0.0991588  -0.05355525 -0.10360206]
  22 : detail.S3.2.bn.gamma                               | Shape: (128,)                         | Values: [4.8018312 1.9187398 5.9528594 2.3181195 0.9661898]
  23 : detail.S3.2.bn.beta                                | Shape: (128,)                         | Values: [-5.226758   -0.42234772 -9.181502   -1.0712714   0.37722158]
  24 : segment.S1S2.conv.conv.weight                      | Shape: (16, 3, 3, 3)                  | Values: [ 0.83897096  0.43047377 -1.336336    1.6084868   0.5171704 ]
  25 : segment.S1S2.conv.bn.gamma                         | Shape: (16,)                          | Values: [4.759895  3.5489826 3.3098443 3.5732658 2.3795187]
  26 : segment.S1S2.conv.bn.beta                          | Shape: (16,)                          | Values: [ 0.9779229   0.8162772   2.0057502   3.5978217  -0.41566682]
  27 : segment.S1S2.left.0.conv.weight                    | Shape: (8, 16, 1, 1)                  | Values: [-0.06192303  0.04675455 -0.02881766 -0.16113405 -0.08092339]
  28 : segment.S1S2.left.0.bn.gamma                       | Shape: (8,)                           | Values: [7.275853  5.0099745 3.8046267 6.8149447 5.389058 ]
  29 : segment.S1S2.left.0.bn.beta                        | Shape: (8,)                           | Values: [ 2.152355  -0.9472892 -7.744772   0.3768822 -8.897704 ]
  30 : segment.S1S2.left.1.conv.weight                    | Shape: (16, 8, 3, 3)                  | Values: [-0.15670067  0.1421076   0.19634166 -0.36070707  0.17184922]
  31 : segment.S1S2.left.1.bn.gamma                       | Shape: (16,)                          | Values: [8.233534  8.24139   7.435019  5.0327206 5.4370236]
  32 : segment.S1S2.left.1.bn.beta                        | Shape: (16,)                          | Values: [ 0.83187675 -0.37429082 -0.50619286  4.0579104   4.207382  ]
  33 : segment.S1S2.fuse.conv.weight                      | Shape: (16, 32, 3, 3)                 | Values: [-0.17162193  0.43445992  0.23446657  0.20342381  0.64699686]
  34 : segment.S1S2.fuse.bn.gamma                         | Shape: (16,)                          | Values: [3.1356735 4.067926  1.5797795 2.0839076 8.2380495]
  35 : segment.S1S2.fuse.bn.beta                          | Shape: (16,)                          | Values: [ 4.552138   3.1858974  2.3757331  1.9281988 -4.253343 ]
  36 : segment.S3.0.conv1.conv.weight                     | Shape: (16, 16, 3, 3)                 | Values: [ 0.01374695 -0.08136516 -0.02018255  0.0304625  -0.01081395]
  37 : segment.S3.0.conv1.bn.gamma                        | Shape: (16,)                          | Values: [1.862826  2.013006  2.131528  2.0913632 2.5940418]
  38 : segment.S3.0.conv1.bn.beta                         | Shape: (16,)                          | Values: [3.1888113 2.9212902 3.4227417 3.7038865 2.608092 ]
  39 : segment.S3.0.dwconv1.0.weight                      | Shape: (96, 1, 3, 3)                  | Values: [ 0.03017029  0.37226516  0.22803631 -0.190808   -0.01623446]
  40 : segment.S3.0.dwconv1.1.gamma                       | Shape: (96,)                          | Values: [1.1298856  0.99056387 1.3411965  1.1371266  1.2863678 ]
  41 : segment.S3.0.dwconv1.1.beta                        | Shape: (96,)                          | Values: [-0.29549563  0.79227483  0.12947209  0.23093952  0.20085263]
  42 : segment.S3.0.dwconv2.0.weight                      | Shape: (96, 1, 3, 3)                  | Values: [-0.11386219 -0.08771421  0.05720396 -0.07059399 -0.49576235]
  43 : segment.S3.0.dwconv2.1.gamma                       | Shape: (96,)                          | Values: [2.7056866 3.339657  2.2740715 2.6195824 2.8568673]
  44 : segment.S3.0.dwconv2.1.beta                        | Shape: (96,)                          | Values: [-0.11346303 -0.24114597 -0.19947591 -0.04930139  0.05886259]
  45 : segment.S3.0.conv2.0.weight                        | Shape: (32, 96, 1, 1)                 | Values: [0.33861005 0.12289108 0.24589509 0.06012099 0.22249113]
  46 : segment.S3.0.conv2.1.gamma                         | Shape: (32,)                          | Values: [  5.4569454    0.6928785   -3.5505636    0.18650657 -10.786064  ]
  47 : segment.S3.0.conv2.1.beta                          | Shape: (32,)                          | Values: [ 1.6658049  2.5601072  2.379916   2.3587847 -5.0070558]
  48 : segment.S3.0.shortcut.0.weight                     | Shape: (16, 1, 3, 3)                  | Values: [-0.01009304 -0.13229465 -0.05494136 -0.06452859  0.5114747 ]
  49 : segment.S3.0.shortcut.1.gamma                      | Shape: (16,)                          | Values: [6.884883  5.5923944 4.7616334 5.364337  3.3073547]
  50 : segment.S3.0.shortcut.1.beta                       | Shape: (16,)                          | Values: [-0.00089733  0.00071483 -0.0019158  -0.00083987  0.00037859]
  51 : segment.S3.0.shortcut.2.weight                     | Shape: (32, 16, 1, 1)                 | Values: [ 0.08459993  0.63139313 -0.00380332 -0.18064381 -0.40137687]
  52 : segment.S3.0.shortcut.3.gamma                      | Shape: (32,)                          | Values: [1.4755148 8.21281   0.2246528 7.392813  2.5640283]
  53 : segment.S3.0.shortcut.3.beta                       | Shape: (32,)                          | Values: [ 1.6658049  2.5601072  2.379916   2.3587847 -5.0070558]
  54 : segment.S3.1.conv1.conv.weight                     | Shape: (32, 32, 3, 3)                 | Values: [ 0.12070401  0.19299935 -0.10869505  0.18198463  0.31993312]
  55 : segment.S3.1.conv1.bn.gamma                        | Shape: (32,)                          | Values: [2.508967  2.6873467 1.8823562 2.3247607 1.6684496]
  56 : segment.S3.1.conv1.bn.beta                         | Shape: (32,)                          | Values: [ 1.6677015 -1.1257212  1.7326556  0.7590892  2.151872 ]
  57 : segment.S3.1.dwconv.0.weight                       | Shape: (192, 1, 3, 3)                 | Values: [-0.04931994  0.30087548  0.22146162 -0.02448566  0.11985171]
  58 : segment.S3.1.dwconv.1.gamma                        | Shape: (192,)                         | Values: [2.2271612 3.0841968 1.2573215 2.933888  2.4218318]
  59 : segment.S3.1.dwconv.1.beta                         | Shape: (192,)                         | Values: [-2.9789317 -1.4027466 -0.3525102 -2.2087862 -3.0819993]
  60 : segment.S3.1.conv2.0.weight                        | Shape: (32, 192, 1, 1)                | Values: [-0.17647219 -0.04767871 -0.17633922 -0.3033709  -0.15961118]
  61 : segment.S3.1.conv2.1.gamma                         | Shape: (32,)                          | Values: [ 3.7211263 -2.4751823  2.0681152  1.7665001 -2.4333487]
  62 : segment.S3.1.conv2.1.beta                          | Shape: (32,)                          | Values: [ 0.02974046 -3.3826947   0.6738277  -0.61317563 -3.6427336 ]
  63 : segment.S4.0.conv1.conv.weight                     | Shape: (32, 32, 3, 3)                 | Values: [0.03314069 0.03855206 0.03824754 0.00761265 0.01798712]
  64 : segment.S4.0.conv1.bn.gamma                        | Shape: (32,)                          | Values: [2.3040864 2.9044507 3.1299305 1.3335437 2.5729785]
  65 : segment.S4.0.conv1.bn.beta                         | Shape: (32,)                          | Values: [3.9992259 1.3426098 2.583557  2.6772852 2.9521618]
  66 : segment.S4.0.dwconv1.0.weight                      | Shape: (192, 1, 3, 3)                 | Values: [ 0.17094511 -0.02598792  0.01794277 -0.1106449  -0.42021894]
  67 : segment.S4.0.dwconv1.1.gamma                       | Shape: (192,)                         | Values: [1.6977525 1.6367384 1.8576514 1.5786037 1.378286 ]
  68 : segment.S4.0.dwconv1.1.beta                        | Shape: (192,)                         | Values: [-0.8075659   1.1845881   0.7316902   0.8486283   0.04793346]
  69 : segment.S4.0.dwconv2.0.weight                      | Shape: (192, 1, 3, 3)                 | Values: [ 0.3692092   0.20718212 -0.11277885  0.89278203  0.13019118]
  70 : segment.S4.0.dwconv2.1.gamma                       | Shape: (192,)                         | Values: [2.7809753 3.1604054 2.7467232 2.8047788 3.1912   ]
  71 : segment.S4.0.dwconv2.1.beta                        | Shape: (192,)                         | Values: [-0.23507193 -0.07049324 -0.06327144 -0.33799464 -0.53893876]
  72 : segment.S4.0.conv2.0.weight                        | Shape: (64, 192, 1, 1)                | Values: [ 0.00999458 -0.05206497 -0.00691857  0.01902709 -0.1103342 ]
  73 : segment.S4.0.conv2.1.gamma                         | Shape: (64,)                          | Values: [-2.0542834 -2.0740721 -1.8423932  1.8045882  1.8739144]
  74 : segment.S4.0.conv2.1.beta                          | Shape: (64,)                          | Values: [ 1.6768761  -0.15343954  1.2337238   1.8928831   0.02739476]
  75 : segment.S4.0.shortcut.0.weight                     | Shape: (32, 1, 3, 3)                  | Values: [0.09807859 0.2501221  0.15336497 0.14487274 0.58378214]
  76 : segment.S4.0.shortcut.1.gamma                      | Shape: (32,)                          | Values: [4.825874  2.8860285 5.078235  2.4343612 7.412958 ]
  77 : segment.S4.0.shortcut.1.beta                       | Shape: (32,)                          | Values: [ 0.00080163  0.00011377 -0.0010923   0.00053789 -0.00035668]
  78 : segment.S4.0.shortcut.2.weight                     | Shape: (64, 32, 1, 1)                 | Values: [-0.38224313 -0.1307223  -0.09884237  0.0783538  -0.56322885]
  79 : segment.S4.0.shortcut.3.gamma                      | Shape: (64,)                          | Values: [4.432152  4.4202757 3.2761698 2.2368975 4.8486323]
  80 : segment.S4.0.shortcut.3.beta                       | Shape: (64,)                          | Values: [ 1.6768761  -0.15343954  1.2337238   1.8928831   0.02739476]
  81 : segment.S4.1.conv1.conv.weight                     | Shape: (64, 64, 3, 3)                 | Values: [-0.04188311 -0.13068204  0.02756328 -0.06418025 -0.16424812]
  82 : segment.S4.1.conv1.bn.gamma                        | Shape: (64,)                          | Values: [1.3741885 1.3613544 1.9310417 1.9063042 1.4715754]
  83 : segment.S4.1.conv1.bn.beta                         | Shape: (64,)                          | Values: [1.8582727  2.2843955  0.84026307 1.1963441  2.154982  ]
  84 : segment.S4.1.dwconv.0.weight                       | Shape: (384, 1, 3, 3)                 | Values: [ 0.24967116  0.33773512  0.13926269  0.08036286 -0.22094032]
  85 : segment.S4.1.dwconv.1.gamma                        | Shape: (384,)                         | Values: [1.8605568 2.101318  1.8640236 2.0101836 1.8292552]
